"","Sample_ID","Stiffness_Score","Tumor_Type"
"TCGA-IG-A50L-01A-11R-A260-31","TCGA-IG-A50L-01A-11R-A260-31",45.598849122807,"TCGA-ESCA"
"TCGA-IG-A3YB-01A-11R-A36D-31","TCGA-IG-A3YB-01A-11R-A36D-31",15.3772684210526,"TCGA-ESCA"
"TCGA-IG-A8O2-01A-11R-A36D-31","TCGA-IG-A8O2-01A-11R-A36D-31",9.62313684210526,"TCGA-ESCA"
"TCGA-VR-AA7I-01A-11R-A406-31","TCGA-VR-AA7I-01A-11R-A406-31",45.6529666666667,"TCGA-ESCA"
"TCGA-JY-A93F-01A-21R-A37I-31","TCGA-JY-A93F-01A-21R-A37I-31",6.14252280701754,"TCGA-ESCA"
"TCGA-L5-A43C-01A-11R-A24K-31","TCGA-L5-A43C-01A-11R-A24K-31",73.9698719298246,"TCGA-ESCA"
"TCGA-V5-A7RC-01B-11R-A406-31","TCGA-V5-A7RC-01B-11R-A406-31",25.5411859649123,"TCGA-ESCA"
"TCGA-LN-A49M-01A-21R-A260-31","TCGA-LN-A49M-01A-21R-A260-31",27.7548561403509,"TCGA-ESCA"
"TCGA-LN-A8HZ-01A-11R-A36D-31","TCGA-LN-A8HZ-01A-11R-A36D-31",12.3813192982456,"TCGA-ESCA"
"TCGA-JY-A6FH-01A-11R-A336-31","TCGA-JY-A6FH-01A-11R-A336-31",8.17714035087719,"TCGA-ESCA"
"TCGA-VR-A8EY-01A-11R-A36D-31","TCGA-VR-A8EY-01A-11R-A36D-31",16.7890789473684,"TCGA-ESCA"
"TCGA-L5-A8NV-01A-11R-A37I-31","TCGA-L5-A8NV-01A-11R-A37I-31",23.0319298245614,"TCGA-ESCA"
"TCGA-LN-A4A9-01A-11R-A28J-31","TCGA-LN-A4A9-01A-11R-A28J-31",42.3081701754386,"TCGA-ESCA"
"TCGA-2H-A9GO-01A-11R-A37I-31","TCGA-2H-A9GO-01A-11R-A37I-31",6.83906666666667,"TCGA-ESCA"
"TCGA-L5-A4ON-01A-11R-A260-31","TCGA-L5-A4ON-01A-11R-A260-31",14.0758035087719,"TCGA-ESCA"
"TCGA-LN-A9FO-01A-11R-A38D-31","TCGA-LN-A9FO-01A-11R-A38D-31",14.7614754385965,"TCGA-ESCA"
"TCGA-X8-AAAR-01A-11R-A406-31","TCGA-X8-AAAR-01A-11R-A406-31",14.9709070175439,"TCGA-ESCA"
"TCGA-L5-A4OJ-01A-11R-A260-31","TCGA-L5-A4OJ-01A-11R-A260-31",12.9011192982456,"TCGA-ESCA"
"TCGA-LN-A4MR-01A-11R-A28J-31","TCGA-LN-A4MR-01A-11R-A28J-31",47.2940298245614,"TCGA-ESCA"
"TCGA-R6-A8W8-01B-11R-A37I-31","TCGA-R6-A8W8-01B-11R-A37I-31",9.99724561403509,"TCGA-ESCA"
"TCGA-L5-A8NU-01A-11R-A36D-31","TCGA-L5-A8NU-01A-11R-A36D-31",33.9800157894737,"TCGA-ESCA"
"TCGA-LN-A9FR-01A-11R-A38D-31","TCGA-LN-A9FR-01A-11R-A38D-31",103.824863157895,"TCGA-ESCA"
"TCGA-VR-A8ET-01A-11R-A406-31","TCGA-VR-A8ET-01A-11R-A406-31",9.60779473684211,"TCGA-ESCA"
"TCGA-R6-A6L4-01A-11R-A31P-31","TCGA-R6-A6L4-01A-11R-A31P-31",4.44875789473684,"TCGA-ESCA"
"TCGA-L5-A4OS-01A-11R-A28J-31","TCGA-L5-A4OS-01A-11R-A28J-31",24.8794087719298,"TCGA-ESCA"
"TCGA-L5-A8NR-01A-11R-A37I-31","TCGA-L5-A8NR-01A-11R-A37I-31",21.0344298245614,"TCGA-ESCA"
"TCGA-VR-AA4G-01A-11R-A37I-31","TCGA-VR-AA4G-01A-11R-A37I-31",39.8277684210526,"TCGA-ESCA"
"TCGA-LN-A4A4-01A-11R-A260-31","TCGA-LN-A4A4-01A-11R-A260-31",48.8456263157895,"TCGA-ESCA"
"TCGA-LN-A49S-01A-11R-A24K-31","TCGA-LN-A49S-01A-11R-A24K-31",7.18595789473684,"TCGA-ESCA"
"TCGA-L5-A4OG-01A-11R-A260-31","TCGA-L5-A4OG-01A-11R-A260-31",16.4592456140351,"TCGA-ESCA"
"TCGA-2H-A9GJ-01A-11R-A37I-31","TCGA-2H-A9GJ-01A-11R-A37I-31",9.60128947368421,"TCGA-ESCA"
"TCGA-KH-A6WC-01A-11R-A336-31","TCGA-KH-A6WC-01A-11R-A336-31",4.0731701754386,"TCGA-ESCA"
"TCGA-2H-A9GQ-01A-11R-A37I-31","TCGA-2H-A9GQ-01A-11R-A37I-31",20.9090263157895,"TCGA-ESCA"
"TCGA-L5-A891-01A-11R-A36D-31","TCGA-L5-A891-01A-11R-A36D-31",15.646298245614,"TCGA-ESCA"
"TCGA-XP-A8T6-01A-11R-A36D-31","TCGA-XP-A8T6-01A-11R-A36D-31",22.7295,"TCGA-ESCA"
"TCGA-VR-A8EZ-01A-11R-A36D-31","TCGA-VR-A8EZ-01A-11R-A36D-31",32.2703421052632,"TCGA-ESCA"
"TCGA-R6-A6DQ-01B-11R-A31P-31","TCGA-R6-A6DQ-01B-11R-A31P-31",15.6911052631579,"TCGA-ESCA"
"TCGA-L5-A4OW-01A-11R-A28J-31","TCGA-L5-A4OW-01A-11R-A28J-31",17.5365526315789,"TCGA-ESCA"
"TCGA-L5-A43M-01A-11R-A24K-31","TCGA-L5-A43M-01A-11R-A24K-31",27.5614122807018,"TCGA-ESCA"
"TCGA-IC-A6RF-01A-13R-A336-31","TCGA-IC-A6RF-01A-13R-A336-31",5.95856842105263,"TCGA-ESCA"
"TCGA-L5-A88T-01A-11R-A354-31","TCGA-L5-A88T-01A-11R-A354-31",8.92688421052632,"TCGA-ESCA"
"TCGA-L5-A8NN-01A-11R-A37I-31","TCGA-L5-A8NN-01A-11R-A37I-31",8.98428421052632,"TCGA-ESCA"
"TCGA-JY-A6FB-01A-11R-A336-31","TCGA-JY-A6FB-01A-11R-A336-31",12.741350877193,"TCGA-ESCA"
"TCGA-R6-A6Y2-01B-11R-A336-31","TCGA-R6-A6Y2-01B-11R-A336-31",65.3439052631579,"TCGA-ESCA"
"TCGA-LN-A4A6-01A-11R-A260-31","TCGA-LN-A4A6-01A-11R-A260-31",35.1530315789474,"TCGA-ESCA"
"TCGA-Z6-A8JD-01A-11R-A36D-31","TCGA-Z6-A8JD-01A-11R-A36D-31",53.5524280701754,"TCGA-ESCA"
