,gene,log2FC,p_value,adjusted_p,-log10(adjusted_p)
118,RERE,0.03157139,0.017652423705893837,0.03986620872806183,1.3993950637299304
119,ENO1,0.0016040802,1.6068356863891512e-11,6.619082180145313e-11,10.17920222683413
120,ENO1-AS1,-0.002177596,0.9674515683963939,0.9999853635789433,6.356563418520975e-06
121,CA6,-0.029233582,0.051509769237105034,0.10885106280996364,0.963167326197998
122,SLC2A7,-0.00045067054,0.9816577854049726,0.9999853635789433,6.356563418520975e-06
123,SLC2A5,0.0006752905,0.9812304888777253,0.9999853635789433,6.356563418520975e-06
124,GPR157,0.030153014,0.021176377409519852,0.04736410016723377,1.324550709094929
125,MIR34AHG,0.19352782,1.0133878591470548e-40,9.649308677991285e-40,39.01550380044777
126,LINC01759,0.120459825,3.994196512036649e-19,2.194966872410552e-18,17.65857202997214
127,H6PD,-0.0038389564,0.9280048901111103,0.9999853635789433,6.356563418520975e-06
128,SPSB1,0.05392924,3.691615587040228e-05,0.00010659368630300882,3.9722685184329785
129,SLC25A33,0.18293375,7.615905549469505e-55,9.604204727476283e-54,53.01753859090306
130,TMEM201,0.07295002,2.8110255970857774e-11,1.1447679281960344e-10,9.94128254626662
131,PIK3CD,0.045140624,0.00015212787142450233,0.0004186442900604725,3.3781548278096585
132,PIK3CD-AS1,0.00085284794,0.970170968902281,0.9999853635789433,6.356563418520975e-06
133,PIK3CD-AS2,0.012679946,0.24472622862131488,0.450179448637625,0.34661433507294787
134,CLSTN1,0.052398324,1.1648638687324453e-05,3.4856251172479225e-05,4.457719323555757
135,CTNNBIP1,-9.942055e-05,0.3682425222097201,0.6411170073171274,0.19306270215852278
136,LZIC,0.094076395,5.0475373420452004e-18,2.6712063554439858e-17,16.57329256066117
137,NMNAT1,0.08444624,3.496612666351378e-11,1.4200869339017794e-10,9.847685068463294
138,RBP7,0.0016394807,0.9438765579409186,0.9999853635789433,6.356563418520975e-06
139,UBE4B,0.12331137,4.2065054141139185e-23,2.6073043263495697e-22,21.583808274723236
140,KIF1B,0.12778535,7.033405470199307e-23,4.323525493919011e-22,21.36416197583819
141,AL139424.3,0.0012223413,0.8424891605221371,0.9999853635789433,6.356563418520975e-06
142,AL139424.2,0.004699809,0.6161256427812338,0.9543969806145205,0.020270943294678857
143,PGD,0.1635254,2.9510915186339946e-57,3.8916975321691066e-56,55.40986092102818
144,AL139424.1,0.0057148016,0.5883642779438156,0.9249700404979632,0.03387233370110585
145,CENPS-CORT,0.04007812,8.76920088372138e-05,0.00024628687011576207,3.6085587403666084
146,CENPS,0.101026,5.274678840027314e-18,2.786464018238358e-17,16.554946560639873
147,CORT,0.0023408323,0.7580569557210873,0.9999853635789433,6.356563418520975e-06
148,DFFA,0.17984831,1.1011908908701336e-70,1.8032505046281803e-69,68.74394393760333
149,AL354956.1,0.0004484218,0.9300857092918794,0.9999853635789433,6.356563418520975e-06
150,PEX14,0.06690347,3.764806553648228e-08,1.3128367939223404e-07,6.881789260128701
151,CASZ1,0.012772795,0.15479953272510952,0.2989981901264213,0.5243314405066308
152,AL139423.1,0.0002475048,0.9489242935985643,0.9999853635789433,6.356563418520975e-06
153,TARDBP,0.12198186,5.1452324420595604e-30,3.8707213516579324e-29,28.412208091867075
154,MASP2,0.0015876072,0.8610937361115274,0.9999853635789433,6.356563418520975e-06
